StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q281_Browser,Q281_Version,Q281_Operating System,Q281_Resolution,Q283_Browser,Q283_Version,Q283_Operating System,Q283_Resolution,Q205,Q284_1,Q284_2,Q284_3,Q290_1,Q290_2,Q290_3,Q287_1,Q287_2,Q287_3,Q293_1,Q293_2,Q293_3,Q296_1,Q296_2,Q296_3,Q299_1,Q299_2,Q299_3,1_Q174_11,2_Q174_11,3_Q174_11,4_Q174_11,5_Q174_11,6_Q174_11,7_Q174_11,8_Q174_11,1_Q175_11,2_Q175_11,3_Q175_11,4_Q175_11,5_Q175_11,6_Q175_11,7_Q175_11,8_Q175_11,1_Q177_11,2_Q177_11,3_Q177_11,4_Q177_11,5_Q177_11,6_Q177_11,7_Q177_11,8_Q177_11,1_Q176_11,2_Q176_11,3_Q176_11,4_Q176_11,5_Q176_11,6_Q176_11,7_Q176_11,8_Q176_11,1_Q179_11,2_Q179_11,3_Q179_11,4_Q179_11,5_Q179_11,6_Q179_11,7_Q179_11,8_Q179_11,Q228_1,Q228_2,Q228_3,Q228_4,Q228_5,Q228_6,Q260_1,Q261_1,Q266_1,Q267_1,Q272_1,Q273_1,Q275_1,Q276_1,Q184_1,Q186_1,Q278_1,Q279_1,State_Familiar_1,State_Familiar_2,State_Familiar_3,State_Familiar_4,State_Familiar_5,State_Familiar_6,State_Familiar_7,State_Familiar_8,PastElectionFamiliar_1,PastElectionFamiliar_2,PastElectionFamiliar_3,PastElectionFamiliar_4,PastElectionFamiliar_5,PastElectionFamiliar_6,PastElectionFamiliar_7,PastElectionFamiliar_8,Party_Likability_1,Party_Likability_2,Polarization_Beliefs_1,Polarization_Beliefs_2,Polarization_Beliefs_3,Polarization_Beliefs_4,Q236,Q238,Q240,Q242,Q244,Q244_5_TEXT,Q246,Q248,Q248_5_TEXT,Q250,Q252,Q252_5_TEXT,Q256,Q256_6_TEXT,Q258,Q260,Q262,Q15,mTurkCode,mapNumCode,condition
10/30/20 5:22,10/30/20 5:23,0,100,49,1,10/30/20 5:23,R_3mf1DO9U012rFHX,,,,,anonymous,EN,,,,,,,,,1,,,,Like,Dislike,Dislike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275570,38,
10/30/20 5:18,10/30/20 5:24,0,100,312,1,10/30/20 5:24,R_4N7qUlmYuAbWGAN,,,,,anonymous,EN,,,,,,,,,1,,,,Dislike,Neutral,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,60,60,60,70,65,70,40,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,55,70,,,,,,,,,,,3,3,3,1,2,3,1,3,2,2,2,1,3,1,1,1,70,40,4,6,6,4,Preconceived notions about where states lie in terms of political parties?,I thought that it could be that the brown was republican and the green was democrat.,"Brown = republican, green = democratic",Green = democratic,6,,1,7,,3,1,,5,,49,4,2,"I do not know if I am registered to vote or not, and I'm unsure if I will vote in the election.",361829,52,greenorange
10/30/20 5:23,10/30/20 5:24,0,100,74,1,10/30/20 5:24,R_6Go46BAs3xersKR,,,,,anonymous,EN,,,,,,,,,1,,,,,,,Like,Dislike,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124399,11,
10/30/20 5:21,10/30/20 5:28,0,100,414,1,10/30/20 5:28,R_2169fZ3QjRCtBpm,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Neutral,Dislike,Like,,,,,,,,,80,55,49,53,40,40,90,75,,,,,,,,,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,45,63,,,,,,,4,2,4,1,1,3,1,1,2,2,2,2,1,2,1,2,75,10,7,7,6,2,How people view political division?,The electoral map of swing states.,Red and blue. I equate them with political parties.,Red and blue...political parties.,3,,1,2,,6,2,,5,,1,2,2,,464320,46,redblue
10/30/20 5:22,10/30/20 5:31,0,100,503,1,10/30/20 5:31,R_1hVViTMqxFbiZEO,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Like,Dislike,,,,23,49,32,62,70,42,68,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,36,55,4,3,3,4,2,2,3,3,1,2,1,1,2,1,1,2,70,32,6,6,5,2,political judgement,no,red,white,1,,1,2,,4,1,,5,,33,4,2,,153429,66,grey
10/30/20 5:27,10/30/20 5:35,0,100,463,1,10/30/20 5:35,R_1LHvf4XVSs7bP1h,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Neutral,Dislike,Like,,,,,,,,,,,,,,,,,,,,,,,,,76,67,70,67,75,72,91,72,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,5,96,,,,,,,,,4,5,5,4,5,4,5,4,2,2,2,2,2,2,2,2,100,69,6,6,7,7,survey on political maps,GOOD,GREEN,RED,2,,2,2,,7,1,,5,,5,5,2,NICE,865625,53,greenorange
10/30/20 5:28,10/30/20 5:36,0,100,515,1,10/30/20 5:36,R_d1o2M4s5Gn2YLOV,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,Like,Neutral,Dislike,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,51,76,,,,,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,50,50,2,2,2,6,What people think about states.,No.,"Red, white, and blue. No.",Red. No.,1,,1,2,,3,1,,5,,33,4,2,No.,439341,51,redblue
10/30/20 5:25,10/30/20 5:37,0,100,693,1,10/30/20 5:37,R_3QYuwPL1tFpP4yh,,,,,anonymous,EN,,,,,,,,,1,,,,Dislike,Neutral,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99,83,86,82,81,92,73,Like,Neutral,Neutral,Neutral,Neutral,Neutral,76,83,,,,,,,,,,,2,5,4,3,5,4,5,4,2,2,2,2,2,1,1,2,20,89,6,5,5,6,It conducting a research survey on political maps.,map's color have a Relationship to an object or feature on the ground.,"green and brown.yes, I associated them with a particular political party.","brown color was I see on the maps in the second task. yes, I associate them with a republican party.",2,,2,3,,6,1,,5,,5,5,2,nice,294714,61,greenorange
10/30/20 5:29,10/30/20 5:40,0,100,636,1,10/30/20 5:40,R_20Maf9iiKY70A7h,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Neutral,Dislike,Like,66,48,57,45,45,35,38,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,75,1,1,2,3,1,3,3,1,1,1,2,2,1,1,1,2,2,47,53,7,6,6,5,To see how I feel towards politics and what side I am on.,Red states and Blue states.,"just black and white, I did not associate them with a certain side.","Just black and white, and I didn't tie them to either side.",2,,2,4,,4,1,,5,,23,3,2,,515742,54,grey
10/30/20 5:34,10/30/20 5:40,0,100,360,1,10/30/20 5:40,R_RJkhW7jnLQlbUfT,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Like,Dislike,,,,,,,,,,,,,,,,,,,,22,19,26,22,26,18,24,15,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,79,64,,,,,,,4,3,4,3,4,3,4,3,2,2,2,2,2,2,2,2,38,84,5,6,5,5,political party,green and blue,blue,green,2,,2,3,,3,1,,5,,31,2,2,good,23327,65,redblue
10/30/20 5:35,10/30/20 5:47,0,100,712,1,10/30/20 5:47,R_1eOy2cwybVGUGRN,,,,,anonymous,EN,,,,,,,,,1,Dislike,Like,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,50,52,52,47,46,52,46,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,85,60,,,,,,,,,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,20,80,4,4,2,5, knowledge of american political map,none,"green and red, no association","red, republician",2,,2,3,,4,1,,1,,24,6,2,,836700,24,greenorange
10/30/20 5:37,10/30/20 5:51,0,100,847,1,10/30/20 5:51,R_12SljEtMHzGQpfb,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,Like,Neutral,Dislike,,,,,,,,,,,,,,,84,73,82,73,81,86,73,81,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,85,83,,,,,4,4,3,4,3,4,3,4,3,1,3,1,2,3,2,3,82,87,6,5,6,5,GOOD,RED& BLUE,DONALD DUMP,DONALD TRUMP,2,,2,2,,3,1,,5,,33,5,1,GOOD,202682,58,redblue
10/30/20 5:50,10/30/20 5:51,0,100,88,1,10/30/20 5:51,R_3lRfH01vk2Q6LCF,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,,,,Like,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715959,53,
10/30/20 5:52,10/30/20 5:53,0,100,60,1,10/30/20 5:53,R_C7uwKGDoae78eKB,,,,,anonymous,EN,,,,,,,,,1,,,,Neutral,Neutral,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761037,64,
10/30/20 5:54,10/30/20 6:01,0,100,422,1,10/30/20 6:01,R_e36IdDmHFcRHVdL,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,,,,Neutral,Like,Dislike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,82,85,77,57,76,73,87,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,65,73,,,,,,,,,,,4,5,4,5,4,5,4,5,2,2,2,3,2,2,3,2,70,77,6,7,6,7,NICE SURVEY. SO I LIKE THAT,GREEN.NATURAL PLACE,"GREEN, NO POLITICAL PARTY",GREEN ,2,,1,4,,5,2,,4,,5,4,1,NICE SURVEY,182639,62,greenorange
10/30/20 5:50,10/30/20 6:02,0,100,762,1,10/30/20 6:02,R_1JDyBxUyfp7pNih,,,,,anonymous,EN,,,,,,,,,1,Dislike,Like,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,67,65,57,79,72,70,66,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,67,56,,,,,4,3,3,4,3,3,4,4,1,1,1,1,2,1,1,2,86,48,5,4,6,5,conducting a research survey on political maps.,"map's color have a Relationship to an object or feature on the ground.
",BLUE COLOR WAS I SAW ON THE MAPS IN THE FIRST TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY.,BROWN COLOR WAS I SEE ON THE MAP IN THE SECOND TASK.I ASSOCIATED THEM WITH A DEMOGRATE POLITICAL PARTY.,1,,1,2,,4,2,,5,,5,5,2,NICE,741266,53,redblue
10/30/20 5:50,10/30/20 6:05,0,100,890,1,10/30/20 6:05,R_1JPDndhfdwqeGgy,,,,,anonymous,EN,,,,,,,,,1,,,,,,,Like,Dislike,Neutral,,,,,,,,,,83,72,67,72,71,75,78,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,63,66,,,5,4,4,5,3,5,4,5,1,2,2,2,2,2,1,2,67,62,6,6,7,6,"conducting a research survey on political maps
","map's color have a Relationship to an object or feature on the ground.
","BROWN COLOR WAS I SAW ON THE MAPS IN THE FIRST TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY.
","BLUE COLOR WAS I SAW ON THE MAPS IN THE SECOND TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY.
",2,,2,2,,7,2,,5,,5,5,2,NICE,707539,11,grey
10/30/20 5:51,10/30/20 6:08,0,100,995,1,10/30/20 6:08,R_1Lp0rbMQZYqWyx0,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,Like,Neutral,Dislike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,63,66,16,67,63,63,66,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,,,75,81,,,,,,,,,4,4,5,4,5,4,5,4,2,2,2,2,2,2,2,2,52,74,5,6,5,5,"conducting a research survey on political maps
map's color have a Relationship to an object or feature on the ground.",BLUE COLOR WAS I SAW ON THE MAPS IN THE FIRST TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY.,BROWN COLOR WAS I SAW ON THE MAP IN THE SECOND TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY,BROWN COLOR WAS I SAW ON THE MAP IN THE SECOND TASK. I ASSOCIATED THEM WITH A DEMOCRATE POLITICAL PARTY,2,,2,3,,8,2,,5,,5,4,1,VERY ENTHUSIASTIC,522653,64,greenorange
10/30/20 5:56,10/30/20 6:08,0,100,714,1,10/30/20 6:08,R_1GQBrddgeWUweYa,,,,,anonymous,EN,,,,,,,,,1,,,,,,,,,,Like,Neutral,Dislike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,66,63,66,59,58,61,63,,,,,,,,,Like,Neutral,Neutral,Neutral,Neutral,Neutral,67,68,,,,,,,,,,,4,4,5,5,4,5,5,4,2,1,2,1,2,1,2,1,61,65,6,7,6,6,"conducting a research survey on political maps
","map's color have a Relationship to an object or feature on the ground.
",Green color was I saw on the map in the first task. I associated them with a demograte political party.,Green color was I saw on the map in the second task. I associated them with a demograte political party.,1,,1,3,,4,1,,5,,5,5,2,nice,66566,63,greenorange
